,Metric,Correlation,Genre
0,duration_ms,-0.05725081307174552,All
1,danceability,0.10168626333008997,All
2,energy,0.004315394598769862,All
3,loudness,0.1049629459774418,All
4,speechiness,-0.07257978348051826,All
5,acousticness,-0.043636409287479076,All
6,instrumentalness,-0.1961312565994534,All
7,liveness,-0.04042942795456373,All
8,valence,0.029397592008987266,All
9,tempo,0.00019406603888864568,All
0,duration_ms,-0.11428087128243031,dance
1,danceability,-0.05406315597142167,dance
2,energy,-0.21159159509067546,dance
3,loudness,0.07333805981001112,dance
4,speechiness,0.011272637454053734,dance
5,acousticness,0.19151275639623186,dance
6,instrumentalness,-0.1423718032087327,dance
7,liveness,-0.10472991203763596,dance
8,valence,0.04579061928839401,dance
9,tempo,0.03486499183467269,dance
0,duration_ms,0.09072692749252323,hip-hop
1,danceability,-0.062084315907841574,hip-hop
2,energy,0.07267162816980828,hip-hop
3,loudness,0.011421344856678475,hip-hop
4,speechiness,-0.12460244251831964,hip-hop
5,acousticness,0.13031067861885703,hip-hop
6,instrumentalness,0.043205334407440905,hip-hop
7,liveness,-0.04850733173218128,hip-hop
8,valence,0.10835680500754656,hip-hop
9,tempo,-0.06729056648064255,hip-hop
0,duration_ms,-0.0261939587484727,pop
1,danceability,0.013082193692204345,pop
2,energy,0.0558773408268487,pop
3,loudness,0.13239016886289243,pop
4,speechiness,0.03811036159764153,pop
5,acousticness,-0.04112508181005286,pop
6,instrumentalness,-0.0883875020722673,pop
7,liveness,0.018676146644686968,pop
8,valence,0.02083727000502727,pop
9,tempo,-0.011586944549901763,pop
0,duration_ms,0.01518225107854613,reggaeton
1,danceability,0.07343070137908839,reggaeton
2,energy,-0.08274132334838843,reggaeton
3,loudness,0.01186885452663384,reggaeton
4,speechiness,-0.05848950877736188,reggaeton
5,acousticness,-0.038564772835760465,reggaeton
6,instrumentalness,0.07751068884437834,reggaeton
7,liveness,-0.022338242737022448,reggaeton
8,valence,-0.0686552157545987,reggaeton
9,tempo,-0.04682876934376112,reggaeton
0,duration_ms,0.06226196142968626,latino
1,danceability,0.04865015626903889,latino
2,energy,0.09544336438556779,latino
3,loudness,0.2500084370846043,latino
4,speechiness,-0.12320548507553497,latino
5,acousticness,-0.09718069365143742,latino
6,instrumentalness,-0.11612808959912262,latino
7,liveness,-0.10227115489328738,latino
8,valence,-0.11459615280323097,latino
9,tempo,-0.06506130736343782,latino
0,duration_ms,-0.011492315161258605,latin
1,danceability,0.1930030007112715,latin
2,energy,0.0879783570941129,latin
3,loudness,0.01151834881504485,latin
4,speechiness,0.18633168037230033,latin
5,acousticness,-0.14730497998612713,latin
6,instrumentalness,-0.014540777620097397,latin
7,liveness,-0.036683453639648735,latin
8,valence,0.009465436496030823,latin
9,tempo,-0.02010913541218976,latin
0,duration_ms,-0.037760110826427946,alt-rock
1,danceability,-0.08468604797280836,alt-rock
2,energy,0.029606604829355992,alt-rock
3,loudness,0.14223299693580152,alt-rock
4,speechiness,-0.009612814315740147,alt-rock
5,acousticness,-0.010826070067077908,alt-rock
6,instrumentalness,-0.005799002401721562,alt-rock
7,liveness,-0.023481136736945647,alt-rock
8,valence,-0.12087253078586706,alt-rock
9,tempo,-0.08101456719598299,alt-rock
0,duration_ms,0.028802227426857667,chill
1,danceability,0.07845382546463549,chill
2,energy,0.07345450583895717,chill
3,loudness,0.08712644023943525,chill
4,speechiness,0.1076444032392076,chill
5,acousticness,-0.10509980730291027,chill
6,instrumentalness,-0.12913710451155877,chill
7,liveness,-0.022514566217072103,chill
8,valence,0.13919149233953415,chill
9,tempo,0.013978039064707081,chill
0,duration_ms,0.04805809934087089,reggae
1,danceability,-0.03091897653497704,reggae
2,energy,-0.18719999731242204,reggae
3,loudness,-0.19147956551199313,reggae
4,speechiness,-0.047199628712809055,reggae
5,acousticness,0.15257622836856097,reggae
6,instrumentalness,0.06712103925394376,reggae
7,liveness,-0.05190990327321262,reggae
8,valence,-0.03504717248719365,reggae
9,tempo,0.00815695386024958,reggae
0,duration_ms,-0.07786764282697227,indie
1,danceability,-0.0005093110671138247,indie
2,energy,-0.006823803965079795,indie
3,loudness,0.05079404935689627,indie
4,speechiness,0.07947386273419552,indie
5,acousticness,-0.02900852015428503,indie
6,instrumentalness,0.14992294656286465,indie
7,liveness,0.004537221238386015,indie
8,valence,0.017780655863223048,indie
9,tempo,-0.07104624998898726,indie
0,duration_ms,0.057192970455116815,rock
1,danceability,0.13902652437111906,rock
2,energy,0.08108606450881826,rock
3,loudness,0.09329478739718092,rock
4,speechiness,-0.025377288052109637,rock
5,acousticness,-0.19383075997654595,rock
6,instrumentalness,-0.07797158663185556,rock
7,liveness,-0.019458658614184932,rock
8,valence,-0.11880376988252653,rock
9,tempo,-0.1227817557957199,rock
0,duration_ms,-0.23461382224965485,groove
1,danceability,0.10581160303376322,groove
2,energy,0.32233361138446026,groove
3,loudness,0.2057317029984574,groove
4,speechiness,-0.028677784452918336,groove
5,acousticness,-0.35067805374934663,groove
6,instrumentalness,0.0975195962554572,groove
7,liveness,-0.21914431205663343,groove
8,valence,0.02353865950418938,groove
9,tempo,0.041231667048297345,groove
0,duration_ms,-0.116488540086399,folk
1,danceability,-0.031207644228156983,folk
2,energy,-0.1153938632784324,folk
3,loudness,-0.1271279572026725,folk
4,speechiness,-0.095174328258325,folk
5,acousticness,-0.0008467402377346201,folk
6,instrumentalness,0.08863349814455025,folk
7,liveness,-0.1805160634969027,folk
8,valence,-0.1607160283052802,folk
9,tempo,-0.10844962012603307,folk
0,duration_ms,-0.13388682400572657,piano
1,danceability,0.041952233665279934,piano
2,energy,0.05439953591259218,piano
3,loudness,-0.021245617121072646,piano
4,speechiness,-0.048077712405857106,piano
5,acousticness,-0.10439617980260289,piano
6,instrumentalness,-0.12313007938210296,piano
7,liveness,-0.09609719347796486,piano
8,valence,0.15341809855462116,piano
9,tempo,0.006516927413722084,piano
0,duration_ms,0.05280026939204312,country
1,danceability,0.02566939542672416,country
2,energy,-0.17132543780261802,country
3,loudness,-0.18649028701436143,country
4,speechiness,-0.012081888643304568,country
5,acousticness,0.10412978509045413,country
6,instrumentalness,0.03265119181377042,country
7,liveness,-0.020783930605568813,country
